skill,count,avg_price,med_price,max_price,min_price,created_at
After Effects,90,52.5,50,80,35,20201121
After Effects,90,52.5,50,80,35,20201122
After Effects,90,52.5,50,80,35,20201123
After Effects,90,52.5,50,80,35,20201124
After Effects,90,52.5,50,80,35,20201125
After Effects,90,52.5,50,80,35,20201126
After Effects,92,52.5,50,80,35,20201127
After Effects,92,52.5,50,80,35,20201128
After Effects,92,52.5,50,80,35,20201129
After Effects,92,52.5,50,80,35,20201130
After Effects,92,52.4,51.5,80,35,20201202
After Effects,93,52.4,51.5,80,35,20201203
After Effects,95,52.4,51.5,80,35,20201204
After Effects,96,52.4,51.5,80,35,20201205
After Effects,96,52.4,51.5,80,35,20201206
After Effects,96,52.4,51.5,80,35,20201207
After Effects,96,52.4,51.5,80,35,20201208
After Effects,100,52.4,51.5,80,35,20201209
After Effects,102,52.4,51.5,80,35,20201210
After Effects,102,52.4,51.5,80,35,20201211
After Effects,102,52.4,51.5,80,35,20201212
After Effects,103,52.4,51.5,80,35,20201215
After Effects,107,52.4,51.5,80,35,20201220
After Effects,108,52.4,51.5,80,35,20201225
After Effects,112,52.4,51.5,80,35,20201230
After Effects,112,53.7,55,80,34,20210105
After Effects,113,53.7,55,80,34,20210110
After Effects,113,53.7,55,80,34,20210115
After Effects,115,53.7,55,80,34,20210120
After Effects,116,53.7,55,80,34,20210125
After Effects,119,53.6,55,80,30,20210209
After Effects,119,53.6,55,80,30,20210210
After Effects,120,53.6,55,80,30,20210215
After Effects,123,53.6,55,80,30,20210220
After Effects,123,53.6,55,80,30,20210225
After Effects,126,52.9,51.5,80,20,20210305
After Effects,143,52.9,50,85,20,20210503
After Effects,143,52.9,50,85,20,20210504
After Effects,143,52.9,50,85,20,20210505
After Effects,143,52.9,50,85,20,20210506
