skill,count,avg_price,med_price,max_price,min_price,created_at
Adobe XD,69,63.4,65,100,44,20201121
Adobe XD,69,63.4,65,100,44,20201122
Adobe XD,69,63.4,65,100,44,20201123
Adobe XD,69,63.4,65,100,44,20201124
Adobe XD,69,63.4,65,100,44,20201125
Adobe XD,69,63.4,65,100,44,20201126
Adobe XD,70,63.4,65,100,44,20201127
Adobe XD,70,63.4,65,100,44,20201128
Adobe XD,70,63.4,65,100,44,20201129
Adobe XD,70,63.4,65,100,44,20201130
Adobe XD,71,64.2,65,100,40,20201202
Adobe XD,72,64.2,65,100,40,20201203
Adobe XD,73,64.2,65,100,40,20201204
