skill,count,avg_price,max_price,min_price,created_at
Red Hat,92,66,95,40,20201121
Red Hat,92,66,95,40,20201122
Red Hat,92,66,95,40,20201123
Red Hat,92,66,95,40,20201124
Red Hat,92,66,95,40,20201125
Red Hat,92,66,95,40,20201126
Red Hat,92,66,95,40,20201127
Red Hat,92,66,95,40,20201128
Red Hat,93,66,95,40,20201204
Red Hat,93,66,95,40,20201205
Red Hat,93,66,95,40,20201206
Red Hat,93,66,95,40,20201207
Red Hat,94,66,95,40,20201208
Red Hat,94,66,95,40,20201209
Red Hat,95,66,95,40,20201210
Red Hat,95,66,95,40,20201211
Red Hat,95,66,95,40,20201212
Red Hat,95,66,95,40,20201215
Red Hat,95,66,95,40,20201220
Red Hat,95,66,95,40,20201225
Red Hat,95,66,95,40,20201230
Red Hat,95,66,95,40,20210101
Red Hat,95,66,95,40,20210105
Red Hat,95,66,95,40,20210110
Red Hat,96,66,95,40,20210115
Red Hat,97,65,95,40,20210120
Red Hat,97,65,95,40,20210125
Red Hat,100,65,95,40,20210209
Red Hat,100,65,95,40,20210210
Red Hat,100,65,95,40,20210215
Red Hat,100,65,95,40,20210220
Red Hat,100,65,95,40,20210225
Red Hat,102,65,95,40,20210301
Red Hat,102,65,95,40,20210305
Red Hat,102,65,95,40,20210310
Red Hat,105,65,95,40,20210315
Red Hat,105,65,95,40,20210320
Red Hat,105,65,95,40,20210325
Red Hat,105,65,95,40,20210330
Red Hat,185,65,95,44,20210401
Red Hat,185,65,95,44,20210405
Red Hat,185,65,95,44,20210410
Red Hat,186,65,95,44,20210415
Red Hat,186,65,95,44,20210503
Red Hat,186,65,95,44,20210504
Red Hat,186,65,95,44,20210505
Red Hat,186,65,95,44,20210506
Red Hat,186,65,95,44,20210507
Red Hat,186,65,95,44,20210508
Red Hat,186,65,95,44,20210509
