skill,count,avg_price,med_price,max_price,min_price,created_at
Azure,391,77.5,75,160,30,20201121
Azure,392,77.5,75,160,30,20201122
Azure,392,77.5,75,160,30,20201123
Azure,392,77.5,75,160,30,20201124
Azure,392,77.5,75,160,30,20201125
Azure,393,77.5,75,160,30,20201126
Azure,393,77.5,75,160,30,20201127
Azure,393,77.5,75,160,30,20201128
Azure,393,77.5,75,160,30,20201129
Azure,393,77.5,75,160,30,20201130
Azure,393,76.8,75,160,30,20201202
Azure,393,76.8,75,160,30,20201203
Azure,395,76.8,75,160,30,20201204
Azure,396,76.8,75,160,30,20201205
Azure,399,76.8,75,160,30,20201206
Azure,399,76.8,75,160,30,20201207
Azure,399,76.8,75,160,30,20201208
Azure,399,76.8,75,160,30,20201209
Azure,400,76.8,75,160,30,20201210
Azure,401,76.8,75,160,30,20201211
Azure,402,76.8,75,160,30,20201212
Azure,402,76.8,75,160,30,20201215
Azure,400,76.8,75,160,30,20201220
Azure,409,76.8,75,160,30,20201225
Azure,413,76.8,75,160,30,20201230
Azure,414,76.4,75,160,30,20210105
Azure,451,76.4,75,160,30,20210110
Azure,452,76.4,75,160,30,20210115
Azure,458,76.4,75,160,30,20210120
Azure,477,76.4,75,160,30,20210125
