skill,count,avg_price,med_price,max_price,min_price,created_at
Azure,391,77.5,75,160,30,20201121
Azure,392,77.5,75,160,30,20201122
Azure,392,77.5,75,160,30,20201123
Azure,392,77.5,75,160,30,20201124
Azure,392,77.5,75,160,30,20201125
Azure,393,77.5,75,160,30,20201126
Azure,393,77.5,75,160,30,20201127
Azure,393,77.5,75,160,30,20201128
Azure,393,77.5,75,160,30,20201129
Azure,393,77.5,75,160,30,20201130
Azure,393,76.8,75,160,30,20201202
Azure,393,76.8,75,160,30,20201203
Azure,395,76.8,75,160,30,20201204
Azure,396,76.8,75,160,30,20201205
Azure,399,76.8,75,160,30,20201206
Azure,399,76.8,75,160,30,20201207
Azure,399,76.8,75,160,30,20201208
Azure,399,76.8,75,160,30,20201209
Azure,400,76.8,75,160,30,20201210
Azure,401,76.8,75,160,30,20201211
Azure,402,76.8,75,160,30,20201212
Azure,402,76.8,75,160,30,20201215
Azure,400,76.8,75,160,30,20201220
Azure,409,76.8,75,160,30,20201225
Azure,413,76.8,75,160,30,20201230
Azure,414,76.4,75,160,30,20210105
Azure,451,76.4,75,160,30,20210110
Azure,452,76.4,75,160,30,20210115
Azure,458,76.4,75,160,30,20210120
Azure,477,76.4,75,160,30,20210125
Azure,505,77.2,75,160,30,20210209
Azure,506,77.2,75,160,30,20210210
Azure,509,77.2,75,160,30,20210215
Azure,513,77.2,75,160,30,20210220
Azure,515,77.2,75,160,30,20210225
Azure,528,77.3,75,160,30,20210305
Azure,586,77.2,75,185,30,20210503
Azure,586,77.2,75,185,30,20210504
Azure,586,77.2,75,185,30,20210505
Azure,586,77.2,75,185,30,20210506
Azure,588,77.2,75,185,30,20210507
Azure,592,77.2,75,185,30,20210508
Azure,592,77.2,75,185,30,20210509
Azure,592,77.2,75,185,30,20210510
Azure,592,77.2,75,185,30,20210511
Azure,592,77.2,75,185,30,20210512
Azure,595,77.2,75,185,30,20210513
Azure,595,77.2,75,185,30,20210514
Azure,597,77.2,75,185,30,20210515
Azure,597,77.2,75,185,30,20210516
Azure,597,77.2,75,185,30,20210517
Azure,597,77.2,75,185,30,20210518
Azure,598,77.2,75,185,30,20210519
Azure,599,77.2,75,185,30,20210520
Azure,600,77.2,75,185,30,20210521
Azure,602,77.2,75,185,30,20210522
Azure,602,77.2,75,185,30,20210523
Azure,602,77.2,75,185,30,20210524
Azure,602,77.2,75,185,30,20210525
Azure,604,77.2,75,185,30,20210526
Azure,606,77.2,75,185,30,20210527
Azure,606,77.2,75,185,30,20210528
Azure,608,77.2,75,185,30,20210529
Azure,608,77.2,75,185,30,20210530
Azure,609,77.2,75,185,30,20210531
Azure,609,77.4,75,185,30,20210602
Azure,612,77.4,75,185,30,20210603
Azure,612,77.4,75,185,30,20210604
Azure,613,77.4,75,185,30,20210605
Azure,614,77.4,75,185,30,20210606
Azure,614,77.4,75,185,30,20210607
Azure,615,77.4,75,185,30,20210608
Azure,619,77.4,75,185,30,20210609
Azure,620,77.4,75,185,30,20210610
Azure,621,77.4,75,185,30,20210611
Azure,622,77.4,75,185,30,20210613
Azure,624,77.4,75,185,30,20210614
Azure,624,77.4,75,185,30,20210615
Azure,625,77.4,75,185,30,20210616
Azure,626,77.4,75,185,30,20210617
Azure,626,77.4,75,185,30,20210618
Azure,630,77.4,75,185,30,20210619
Azure,630,77.4,75,185,30,20210620
Azure,630,77.4,75,185,30,20210621
Azure,631,77.4,75,185,30,20210622
Azure,635,77.4,75,185,30,20210623
