skill,count,avg_price,max_price,min_price,created_at
Google App Engine,7,77,95,60,20201121
Google App Engine,7,77,95,60,20201122
Google App Engine,7,77,95,60,20201123
Google App Engine,7,77,95,60,20201124
Google App Engine,7,77,95,60,20201125
Google App Engine,7,77,95,60,20201126
Google App Engine,7,77,95,60,20201127
Google App Engine,8,77,95,60,20201128
Google App Engine,8,77,95,60,20201204
Google App Engine,8,77,95,60,20201205
Google App Engine,8,77,95,60,20201206
Google App Engine,8,77,95,60,20201207
Google App Engine,8,77,95,60,20201208
Google App Engine,8,77,95,60,20201209
Google App Engine,8,77,95,60,20201210
Google App Engine,8,77,95,60,20201211
Google App Engine,8,77,95,60,20201212
Google App Engine,8,77,95,60,20201215
Google App Engine,8,77,95,60,20201220
Google App Engine,8,77,95,60,20201225
Google App Engine,8,77,95,60,20201230
Google App Engine,8,77,95,60,20210101
Google App Engine,8,77,95,60,20210105
Google App Engine,9,77,95,60,20210110
Google App Engine,9,77,95,60,20210115
Google App Engine,9,77,95,60,20210120
Google App Engine,9,77,95,60,20210125
Google App Engine,9,77,95,60,20210209
Google App Engine,9,77,95,60,20210210
Google App Engine,9,77,95,60,20210215
Google App Engine,9,77,95,60,20210220
Google App Engine,9,77,95,60,20210225
Google App Engine,9,77,95,60,20210301
Google App Engine,9,77,95,60,20210305
Google App Engine,9,77,95,60,20210310
Google App Engine,9,77,95,60,20210315
Google App Engine,9,77,95,60,20210320
Google App Engine,9,77,95,60,20210325
Google App Engine,9,77,95,60,20210330
Google App Engine,21,79,95,55,20210401
Google App Engine,21,79,95,55,20210405
Google App Engine,21,79,95,55,20210410
Google App Engine,21,79,95,55,20210415
Google App Engine,21,79,95,55,20210503
Google App Engine,21,79,95,55,20210504
Google App Engine,21,79,95,55,20210505
Google App Engine,21,79,95,55,20210506
Google App Engine,21,79,95,55,20210507
Google App Engine,21,79,95,55,20210508
Google App Engine,21,79,95,55,20210509
Google App Engine,21,79,95,55,20210510
Google App Engine,21,79,95,55,20210511
Google App Engine,21,79,95,55,20210512
Google App Engine,21,79,95,55,20210513
Google App Engine,21,79,95,55,20210514
Google App Engine,21,79,95,55,20210515
Google App Engine,21,79,95,55,20210516
Google App Engine,21,79,95,55,20210517
Google App Engine,21,79,95,55,20210518
Google App Engine,21,79,95,55,20210519
Google App Engine,21,79,95,55,20210520
Google App Engine,21,79,95,55,20210521
Google App Engine,21,79,95,55,20210522
Google App Engine,21,79,95,55,20210523
Google App Engine,21,79,95,55,20210524
Google App Engine,21,79,95,55,20210525
Google App Engine,21,79,95,55,20210526
Google App Engine,21,79,95,55,20210527
Google App Engine,21,79,95,55,20210528
Google App Engine,21,79,95,55,20210529
Google App Engine,21,79,95,55,20210530
Google App Engine,21,79,95,55,20210531
Google App Engine,22,79,95,55,20210602
Google App Engine,22,79,95,55,20210603
Google App Engine,23,79,95,55,20210604
Google App Engine,23,79,95,55,20210605
Google App Engine,23,79,95,55,20210606
Google App Engine,23,79,95,55,20210607
Google App Engine,23,79,95,55,20210608
Google App Engine,23,79,95,55,20210609
Google App Engine,23,79,95,55,20210610
Google App Engine,23,79,95,55,20210611
Google App Engine,23,79,95,55,20210613
Google App Engine,23,79,95,55,20210614
