skill,count,avg_price,max_price,min_price,created_at
Google Cloud Platform,55,80,105,53,20201121
Google Cloud Platform,55,80,105,53,20201122
Google Cloud Platform,55,80,105,53,20201123
Google Cloud Platform,55,80,105,53,20201124
Google Cloud Platform,59,80,105,53,20201125
Google Cloud Platform,60,80,105,53,20201126
Google Cloud Platform,60,80,105,53,20201127
Google Cloud Platform,62,80,105,53,20201128
Google Cloud Platform,68,79,105,53,20201204
Google Cloud Platform,71,79,105,53,20201205
Google Cloud Platform,71,79,105,53,20201206
Google Cloud Platform,71,79,105,53,20201207
Google Cloud Platform,72,79,105,53,20201208
