skill,count,avg_price,max_price,min_price,created_at
Amazon EC2,2,74,85,64,20201121
Amazon EC2,2,74,85,64,20201122
Amazon EC2,2,74,85,64,20201123
Amazon EC2,2,74,85,64,20201124
Amazon EC2,2,74,85,64,20201125
Amazon EC2,2,74,85,64,20201126
Amazon EC2,2,74,85,64,20201127
Amazon EC2,2,74,85,64,20201128
Amazon EC2,2,74,85,64,20201204
Amazon EC2,2,74,85,64,20201205
Amazon EC2,2,74,85,64,20201206
Amazon EC2,2,74,85,64,20201207
Amazon EC2,2,74,85,64,20201208
Amazon EC2,2,74,85,64,20201209
Amazon EC2,2,74,85,64,20201210
Amazon EC2,2,74,85,64,20201211
Amazon EC2,2,74,85,64,20201212
Amazon EC2,2,74,85,64,20201215
Amazon EC2,2,74,85,64,20201220
Amazon EC2,2,74,85,64,20201225
Amazon EC2,2,74,85,64,20201230
Amazon EC2,2,74,85,64,20210101
Amazon EC2,2,74,85,64,20210105
Amazon EC2,2,74,85,64,20210110
Amazon EC2,2,74,85,64,20210115
Amazon EC2,2,74,85,64,20210120
Amazon EC2,2,74,85,64,20210125
Amazon EC2,3,88,115,64,20210209
Amazon EC2,3,88,115,64,20210210
Amazon EC2,3,88,115,64,20210215
Amazon EC2,3,88,115,64,20210220
Amazon EC2,3,88,115,64,20210225
Amazon EC2,3,88,115,64,20210301
Amazon EC2,3,88,115,64,20210305
Amazon EC2,3,88,115,64,20210310
Amazon EC2,3,88,115,64,20210315
Amazon EC2,3,88,115,64,20210320
Amazon EC2,3,88,115,64,20210325
Amazon EC2,3,88,115,64,20210330
Amazon EC2,8,81,115,60,20210401
Amazon EC2,8,81,115,60,20210405
Amazon EC2,8,81,115,60,20210410
Amazon EC2,8,81,115,60,20210415
Amazon EC2,8,76,95,60,20210503
Amazon EC2,8,76,95,60,20210504
Amazon EC2,8,76,95,60,20210505
