created_at,skill,count,avg_price,max_price,min_price
20201209,Microsoft Azure,152,67,90,50
20201209,Google App Engine,8,77,95,60
20201209,OpenShift,5,62,65,60
20201209,Force.com,2,70,70,70
20201209,AWS,1969,76,135,20
20201209,Amazon SimpleDB,1,80,80,80
20201209,Amazon EC2,2,74,85,64
20201209,Amazon S3,2,80,85,75
20201209,Office 365,16,60,75,40
20201209,Heroku,33,76,102,55
20201209,Amazon VPC,1,70,70,70
20201209,Dynamics CRM,1,65,65,65
20201209,Google Cloud Platform,72,79,105,53
20201209,OpenStack,21,64,80,45
