skill,count,avg_price,max_price,min_price,created_at
Shell,193,64,95,45,20201121
Shell,193,64,95,45,20201122
Shell,193,64,95,45,20201123
Shell,193,64,95,45,20201124
Shell,193,64,95,45,20201125
Shell,194,64,95,45,20201126
Shell,194,64,95,45,20201127
Shell,196,64,95,45,20201128
Shell,196,64,95,45,20201129
Shell,196,64,95,45,20201130
Shell,196,64,95,45,20201201
Shell,196,64,95,45,20201202
Shell,196,64,95,45,20201203
Shell,196,64,95,45,20201204
Shell,196,64,95,45,20201205
Shell,196,64,95,45,20201206
Shell,196,64,95,45,20201207
Shell,198,64,95,45,20201208
Shell,198,64,95,45,20201209
Shell,198,64,95,45,20201210
Shell,198,64,95,45,20201211
Shell,198,64,95,45,20201212
Shell,198,64,95,45,20201215
Shell,200,64,95,45,20201220
Shell,203,64,95,45,20201225
Shell,204,64,95,45,20201230
Shell,204,64,95,45,20210101
Shell,204,64,95,45,20210105
Shell,204,64,95,45,20210110
Shell,207,64,95,45,20210115
Shell,207,64,95,45,20210120
Shell,210,64,95,45,20210125
