skill,count,avg_price,max_price,min_price,created_at
UML,7,70,85,50,20201121
UML,7,70,85,50,20201122
UML,7,70,85,50,20201123
UML,7,70,85,50,20201124
UML,7,70,85,50,20201125
UML,7,70,85,50,20201126
UML,7,70,85,50,20201127
UML,7,70,85,50,20201128
UML,7,70,85,50,20201129
UML,7,70,85,50,20201130
UML,7,70,85,50,20201201
UML,7,70,85,50,20201202
UML,7,70,85,50,20201203
UML,7,70,85,50,20201204
UML,7,70,85,50,20201205
UML,7,70,85,50,20201206
UML,7,70,85,50,20201207
UML,7,70,85,50,20201208
UML,7,70,85,50,20201209
UML,7,70,85,50,20201210
