skill,count,avg_price,max_price,min_price,created_at
VC++,30,65,90,52,20201121
VC++,30,65,90,52,20201122
VC++,30,65,90,52,20201123
VC++,30,65,90,52,20201124
VC++,30,65,90,52,20201125
VC++,30,65,90,52,20201126
VC++,30,65,90,52,20201127
VC++,30,65,90,52,20201128
VC++,30,65,90,52,20201129
VC++,30,65,90,52,20201130
VC++,30,65,90,52,20201201
VC++,30,65,90,52,20201202
VC++,30,65,90,52,20201203
VC++,30,65,90,52,20201204
VC++,30,65,90,52,20201205
VC++,30,65,90,52,20201206
VC++,30,65,90,52,20201207
VC++,30,65,90,52,20201208
VC++,30,65,90,52,20201209
VC++,30,65,90,52,20201210
VC++,30,65,90,52,20201211
VC++,30,65,90,52,20201212
VC++,30,65,90,52,20201215
VC++,30,65,90,52,20201220
VC++,30,65,90,52,20201225
VC++,30,65,90,52,20201230
VC++,30,65,90,52,20210101
VC++,30,65,90,52,20210105
VC++,30,65,90,52,20210110
VC++,30,65,90,52,20210115
VC++,30,65,90,52,20210120
VC++,30,65,90,52,20210125
VC++,30,65,90,52,20210209
VC++,30,65,90,52,20210210
VC++,30,65,90,52,20210215
VC++,30,65,90,52,20210220
VC++,30,65,90,52,20210225
VC++,30,65,90,52,20210301
VC++,31,65,90,52,20210305
VC++,31,65,90,52,20210310
VC++,31,65,90,52,20210315
VC++,31,65,90,52,20210320
VC++,31,65,90,52,20210325
VC++,31,65,90,52,20210330
VC++,66,64,90,37,20210401
VC++,66,64,90,37,20210405
VC++,67,65,90,37,20210410
VC++,67,65,90,37,20210415
VC++,67,65,90,37,20210503
VC++,67,65,90,37,20210504
VC++,67,65,90,37,20210505
VC++,67,65,90,37,20210506
VC++,67,65,90,37,20210507
VC++,67,65,90,37,20210508
VC++,67,65,90,37,20210509
VC++,67,65,90,37,20210510
VC++,67,65,90,37,20210511
VC++,67,65,90,37,20210512
VC++,67,65,90,37,20210513
VC++,67,65,90,37,20210514
VC++,67,65,90,37,20210515
VC++,67,65,90,37,20210516
VC++,67,65,90,37,20210517
VC++,67,65,90,37,20210518
VC++,67,65,90,37,20210519
VC++,67,65,90,37,20210520
VC++,67,65,90,37,20210521
VC++,67,65,90,37,20210522
VC++,67,65,90,37,20210523
VC++,67,65,90,37,20210524
VC++,67,65,90,37,20210525
VC++,67,65,90,37,20210526
VC++,67,65,90,37,20210527
VC++,67,65,90,37,20210528
VC++,67,65,90,37,20210529
VC++,67,65,90,37,20210530
VC++,67,65,90,37,20210531
VC++,67,65,90,37,20210602
VC++,67,65,90,37,20210603
VC++,67,65,90,37,20210604
VC++,67,65,90,37,20210605
VC++,67,65,90,37,20210606
VC++,67,65,90,37,20210607
VC++,67,65,90,37,20210608
VC++,67,65,90,37,20210609
VC++,67,65,90,37,20210610
VC++,67,65,90,37,20210611
VC++,67,65,90,37,20210613
VC++,67,65,90,37,20210614
VC++,67,65,90,37,20210615
VC++,67,65,90,37,20210616
VC++,67,65,90,37,20210617
VC++,67,65,90,37,20210618
VC++,67,65,90,37,20210619
VC++,67,65,90,37,20210620
VC++,67,65,90,37,20210621
VC++,67,65,90,37,20210622
VC++,67,65,90,37,20210623
VC++,67,65,90,37,20210624
VC++,67,65,90,37,20210625
VC++,67,65,90,37,20210626
VC++,67,65,90,37,20210627
VC++,67,65,90,37,20210628
VC++,67,65,90,37,20210629
VC++,67,65,90,37,20210630
VC++,67,65,90,37,20210702
VC++,67,65,90,37,20210703
VC++,67,65,90,37,20210704
VC++,67,65,90,37,20210705
VC++,67,65,90,37,20210706
VC++,67,65,90,37,20210707
VC++,67,65,90,37,20210708
VC++,67,65,90,37,20210709
VC++,67,65,90,37,20210710
VC++,67,65,90,37,20210711
VC++,67,65,90,37,20210713
VC++,67,65,90,37,20210714
VC++,67,65,90,37,20210715
VC++,67,65,90,37,20210716
VC++,67,65,90,37,20210717
VC++,67,65,90,37,20210718
VC++,67,65,90,37,20210719
VC++,67,65,90,37,20210720
VC++,67,65,90,37,20210721
VC++,67,65,90,37,20210722
VC++,67,65,90,37,20210723
VC++,67,65,90,37,20210724
VC++,67,65,90,37,20210725
VC++,67,65,90,37,20210726
VC++,67,65,90,37,20210727
VC++,67,65,90,37,20210728
VC++,67,65,90,37,20210729
VC++,67,65,90,37,20210730
VC++,67,65,90,37,20210731
VC++,67,65,90,37,20210802
VC++,67,65,90,37,20210803
VC++,66,65,90,37,20210804
VC++,65,64,90,37,20210805
VC++,65,64,90,37,20210806
VC++,65,64,90,37,20210807
VC++,65,64,90,37,20210808
VC++,65,64,90,37,20210809
VC++,65,64,90,37,20210810
VC++,66,65,90,37,20210812
VC++,66,65,90,37,20210814
VC++,66,65,90,37,20210815
VC++,66,65,90,37,20210816
VC++,67,65,90,37,20210817
VC++,67,65,90,37,20210818
VC++,67,65,90,37,20210819
VC++,67,65,90,37,20210820
VC++,67,65,90,37,20210821
VC++,67,65,90,37,20210822
VC++,67,65,90,37,20210823
VC++,67,65,90,37,20210824
VC++,67,65,90,37,20210825
VC++,67,65,90,37,20210826
VC++,67,65,90,37,20210827
VC++,67,65,90,37,20210828
VC++,67,65,90,37,20210829
VC++,67,65,90,37,20210830
VC++,67,65,90,37,20210831
VC++,67,65,90,37,20210902
VC++,67,65,90,37,20210903
VC++,67,65,90,37,20210904
VC++,67,65,90,37,20210906
VC++,67,65,90,37,20210907
