skill,count,avg_price,max_price,min_price,created_at
Lua,6,73,80,65,20201121
Lua,6,73,80,65,20201122
Lua,6,73,80,65,20201123
Lua,6,73,80,65,20201124
Lua,6,73,80,65,20201125
Lua,6,73,80,65,20201126
Lua,6,73,80,65,20201127
Lua,6,73,80,65,20201128
Lua,6,73,80,65,20201129
Lua,6,73,80,65,20201130
Lua,6,73,80,65,20201201
Lua,6,73,80,65,20201202
Lua,6,73,80,65,20201203
Lua,6,73,80,65,20201204
Lua,6,73,80,65,20201205
Lua,6,73,80,65,20201206
Lua,6,73,80,65,20201207
Lua,6,73,80,65,20201208
Lua,6,73,80,65,20201209
Lua,6,73,80,65,20201210
Lua,6,73,80,65,20201211
Lua,6,73,80,65,20201212
Lua,6,73,80,65,20201215
Lua,7,74,80,65,20201220
Lua,7,74,80,65,20201225
Lua,7,74,80,65,20201230
Lua,7,74,80,65,20210101
Lua,7,74,80,65,20210105
Lua,7,74,80,65,20210110
Lua,8,74,80,65,20210115
Lua,8,74,80,65,20210120
Lua,8,74,80,65,20210125
Lua,9,74,80,65,20210209
Lua,9,74,80,65,20210210
Lua,9,74,80,65,20210215
Lua,10,71,80,55,20210220
Lua,10,71,80,55,20210225
Lua,10,71,80,55,20210301
Lua,10,71,80,55,20210305
Lua,11,71,80,55,20210310
Lua,11,71,80,55,20210315
Lua,11,71,80,55,20210320
Lua,11,71,80,55,20210325
Lua,11,71,80,55,20210330
Lua,19,79,95,65,20210401
Lua,19,79,95,65,20210405
