skill,count,avg_price,med_price,max_price,min_price,created_at
C++,3369,60.5,60,150,25,20201121
C++,3375,60.5,60,150,25,20201122
C++,3375,60.5,60,150,25,20201123
C++,3375,60.5,60,150,25,20201124
C++,3375,60.5,60,150,25,20201125
C++,3375,60.5,60,150,25,20201126
C++,3376,60.5,60,150,25,20201127
C++,3377,60.5,60,150,25,20201128
C++,3382,60.5,60,150,25,20201129
C++,3382,60.5,60,150,25,20201130
C++,3382,60.5,60,150,25,20201201
C++,3384,60.2,60,150,25,20201202
C++,3387,60.2,60,150,25,20201203
C++,3387,60.2,60,150,25,20201204
C++,3391,60.2,60,150,25,20201205
C++,3406,60.2,60,150,25,20201206
C++,3407,60.2,60,150,25,20201207
C++,3408,60.2,60,150,25,20201208
C++,3410,60.2,60,150,25,20201209
C++,3410,60.2,60,150,25,20201210
C++,3414,60.2,60,150,25,20201211
C++,3421,60.2,60,150,25,20201212
C++,3423,60.2,60,150,25,20201215
C++,3445,60.2,60,150,25,20201220
