skill,count,avg_price,med_price,max_price,min_price,created_at
C++,3369,60.5,60,150,25,20201121
C++,3375,60.5,60,150,25,20201122
C++,3375,60.5,60,150,25,20201123
C++,3375,60.5,60,150,25,20201124
C++,3375,60.5,60,150,25,20201125
C++,3375,60.5,60,150,25,20201126
C++,3376,60.5,60,150,25,20201127
C++,3377,60.5,60,150,25,20201128
C++,3382,60.5,60,150,25,20201129
C++,3382,60.5,60,150,25,20201130
C++,3382,60.5,60,150,25,20201201
C++,3384,60.2,60,150,25,20201202
C++,3387,60.2,60,150,25,20201203
C++,3387,60.2,60,150,25,20201204
C++,3391,60.2,60,150,25,20201205
C++,3406,60.2,60,150,25,20201206
C++,3407,60.2,60,150,25,20201207
C++,3408,60.2,60,150,25,20201208
C++,3410,60.2,60,150,25,20201209
C++,3410,60.2,60,150,25,20201210
C++,3414,60.2,60,150,25,20201211
C++,3421,60.2,60,150,25,20201212
C++,3423,60.2,60,150,25,20201215
C++,3445,60.2,60,150,25,20201220
C++,3453,60.2,60,150,25,20201225
C++,3460,60.2,60,150,25,20201230
C++,3460,60.3,60,150,25,20210101
C++,3469,60.3,60,150,25,20210105
C++,3519,60.3,60,150,25,20210110
C++,3530,60.3,60,150,25,20210115
C++,3541,60.3,60,150,25,20210120
C++,3547,60.3,60,150,25,20210125
C++,3615,60.5,60,150,20,20210209
C++,3618,60.5,60,150,20,20210210
C++,3629,60.5,60,150,20,20210215
C++,3642,60.5,60,150,20,20210220
C++,3658,60.5,60,150,20,20210225
C++,3672,60.6,60,150,20,20210305
C++,3789,60.6,60,150,20,20210503
C++,3789,60.6,60,150,20,20210504
C++,3789,60.6,60,150,20,20210505
C++,3789,60.6,60,150,20,20210506
C++,3792,60.6,60,150,20,20210507
C++,3794,60.6,60,150,20,20210508
C++,3795,60.6,60,150,20,20210509
C++,3796,60.6,60,150,20,20210510
C++,3796,60.6,60,150,20,20210511
C++,3805,60.6,60,150,20,20210512
C++,3806,60.6,60,150,20,20210513
C++,3807,60.6,60,150,20,20210514
C++,3813,60.6,60,150,20,20210515
C++,3814,60.6,60,150,20,20210516
C++,3814,60.6,60,150,20,20210517
C++,3816,60.6,60,150,20,20210518
C++,3816,60.6,60,150,20,20210519
C++,3817,60.6,60,150,20,20210520
C++,3818,60.6,60,150,20,20210521
C++,3830,60.6,60,150,20,20210522
C++,3834,60.6,60,150,20,20210523
C++,3834,60.6,60,150,20,20210524
C++,3835,60.6,60,150,20,20210525
C++,3837,60.6,60,150,20,20210526
C++,3840,60.6,60,150,20,20210527
C++,3843,60.6,60,150,20,20210528
C++,3853,60.6,60,150,20,20210529
C++,3853,60.6,60,150,20,20210530
C++,3854,60.6,60,150,20,20210531
C++,3857,60.5,60,150,20,20210602
C++,3859,60.5,60,150,20,20210603
C++,3863,60.5,60,150,20,20210604
C++,3873,60.5,60,150,20,20210605
C++,3874,60.5,60,150,20,20210606
C++,3874,60.5,60,150,20,20210607
C++,3874,60.5,60,150,20,20210608
C++,3875,60.5,60,150,20,20210609
C++,3881,60.5,60,150,20,20210610
C++,3884,60.5,60,150,20,20210611
C++,3903,60.5,60,150,20,20210613
C++,3903,60.5,60,150,20,20210614
C++,3904,60.5,60,150,20,20210615
C++,3909,60.5,60,150,20,20210616
C++,3912,60.5,60,150,20,20210617
