skill,count,avg_price,med_price,max_price,min_price,created_at
Apex,154,73.4,73.5,135,40,20201121
Apex,155,73.4,73.5,135,40,20201122
Apex,155,73.4,73.5,135,40,20201123
Apex,155,73.4,73.5,135,40,20201124
Apex,155,73.4,73.5,135,40,20201125
Apex,155,73.4,73.5,135,40,20201126
Apex,155,73.4,73.5,135,40,20201127
Apex,160,73.4,73.5,135,40,20201128
Apex,160,73.4,73.5,135,40,20201129
Apex,160,73.4,73.5,135,40,20201130
Apex,160,72.4,70,135,40,20201202
Apex,160,72.4,70,135,40,20201203
Apex,160,72.4,70,135,40,20201204
Apex,163,72.4,70,135,40,20201205
Apex,163,72.4,70,135,40,20201206
Apex,163,72.4,70,135,40,20201207
Apex,163,72.4,70,135,40,20201208
Apex,163,72.4,70,135,40,20201209
Apex,163,72.4,70,135,40,20201210
Apex,165,72.4,70,135,40,20201211
Apex,166,72.4,70,135,40,20201212
Apex,166,72.4,70,135,40,20201215
Apex,167,72.4,70,135,40,20201220
Apex,170,72.4,70,135,40,20201225
Apex,171,72.4,70,135,40,20201230
Apex,173,72.9,70,135,40,20210105
Apex,185,72.9,70,135,40,20210110
Apex,186,72.9,70,135,40,20210115
Apex,194,72.9,70,135,40,20210120
Apex,196,72.9,70,135,40,20210125
Apex,198,74.2,74,135,40,20210209
Apex,198,74.2,74,135,40,20210210
Apex,198,74.2,74,135,40,20210215
Apex,194,74.2,74,135,40,20210220
Apex,195,74.2,74,135,40,20210225
Apex,197,75.0,74,135,40,20210305
Apex,198,75.1,74.5,135,40,20210503
Apex,198,75.1,74.5,135,40,20210504
Apex,198,75.1,74.5,135,40,20210505
Apex,198,75.1,74.5,135,40,20210506
Apex,198,75.1,74.5,135,40,20210507
Apex,198,75.1,74.5,135,40,20210508
Apex,198,75.1,74.5,135,40,20210509
Apex,198,75.1,74.5,135,40,20210510
Apex,198,75.1,74.5,135,40,20210511
Apex,198,75.1,74.5,135,40,20210512
Apex,198,75.1,74.5,135,40,20210513
Apex,198,75.1,74.5,135,40,20210514
Apex,198,75.1,74.5,135,40,20210515
Apex,198,75.1,74.5,135,40,20210516
Apex,198,75.1,74.5,135,40,20210517
Apex,198,75.1,74.5,135,40,20210518
Apex,198,75.1,74.5,135,40,20210519
Apex,198,75.1,74.5,135,40,20210520
Apex,198,75.1,74.5,135,40,20210521
Apex,198,75.1,74.5,135,40,20210522
Apex,198,75.1,74.5,135,40,20210523
Apex,198,75.1,74.5,135,40,20210524
Apex,198,75.1,74.5,135,40,20210525
Apex,198,75.1,74.5,135,40,20210526
Apex,198,75.1,74.5,135,40,20210527
Apex,198,75.1,74.5,135,40,20210528
Apex,198,75.1,74.5,135,40,20210529
Apex,198,75.1,74.5,135,40,20210530
Apex,198,75.1,74.5,135,40,20210531
Apex,198,75.1,74.5,135,40,20210602
Apex,198,75.1,74.5,135,40,20210603
Apex,198,75.1,74.5,135,40,20210604
Apex,198,75.1,74.5,135,40,20210605
Apex,198,75.1,74.5,135,40,20210606
Apex,198,75.1,74.5,135,40,20210607
Apex,198,75.1,74.5,135,40,20210608
Apex,198,75.1,74.5,135,40,20210609
Apex,198,75.1,74.5,135,40,20210610
Apex,198,75.1,74.5,135,40,20210611
Apex,199,75.1,74.5,135,40,20210613
Apex,199,75.1,74.5,135,40,20210614
Apex,199,75.1,74.5,135,40,20210615
Apex,199,75.1,74.5,135,40,20210616
Apex,200,75.1,74.5,135,40,20210617
Apex,200,75.1,74.5,135,40,20210618
Apex,200,75.1,74.5,135,40,20210619
Apex,200,75.1,74.5,135,40,20210620
Apex,200,75.1,74.5,135,40,20210621
Apex,200,75.1,74.5,135,40,20210622
Apex,198,75.1,74.5,135,40,20210623
Apex,198,75.1,74.5,135,40,20210624
Apex,199,75.1,74.5,135,40,20210625
Apex,199,75.1,74.5,135,40,20210626
Apex,199,75.1,74.5,135,40,20210627
Apex,199,75.1,74.5,135,40,20210628
Apex,199,75.1,74.5,135,40,20210629
Apex,199,75.1,74.5,135,40,20210630
Apex,199,74.3,74,135,40,20210702
Apex,199,74.3,74,135,40,20210703
Apex,199,74.3,74,135,40,20210704
Apex,199,74.3,74,135,40,20210705
Apex,199,74.3,74,135,40,20210706
Apex,199,74.3,74,135,40,20210707
Apex,199,74.3,74,135,40,20210708
Apex,200,74.3,74,135,40,20210709
Apex,200,74.3,74,135,40,20210710
