skill,count,avg_price,med_price,max_price,min_price,created_at
Swift,1249,73.9,75,140,30,20201121
Swift,1254,73.9,75,140,30,20201122
Swift,1255,73.9,75,140,30,20201123
Swift,1255,73.9,75,140,30,20201124
Swift,1255,73.9,75,140,30,20201125
Swift,1255,73.9,75,140,30,20201126
Swift,1257,73.9,75,140,30,20201127
Swift,1272,73.9,75,140,30,20201128
Swift,1271,73.9,75,140,30,20201129
Swift,1272,73.9,75,140,30,20201130
Swift,1272,73.2,75,140,30,20201201
Swift,1272,73.2,75,140,30,20201202
Swift,1273,73.2,75,140,30,20201203
Swift,1275,73.2,75,140,30,20201204
Swift,1276,73.2,75,140,30,20201205
Swift,1289,73.2,75,140,30,20201206
Swift,1290,73.2,75,140,30,20201207
Swift,1290,73.2,75,140,30,20201208
Swift,1305,73.2,75,140,30,20201209
Swift,1314,73.2,75,140,30,20201210
Swift,1320,73.2,75,140,30,20201211
Swift,1332,73.2,75,140,30,20201212
Swift,1332,73.2,75,140,30,20201215
Swift,1354,73.2,75,140,30,20201220
Swift,1366,73.2,75,140,30,20201225
Swift,1374,73.2,75,140,30,20201230
Swift,1374,73.2,75,140,30,20210101
Swift,1383,73.0,75,140,30,20210105
Swift,1436,73.0,75,140,30,20210110
Swift,1443,73.0,75,140,30,20210115
Swift,1451,73.0,75,140,30,20210120
Swift,1475,73.0,75,140,30,20210125
Swift,1572,72.5,72,140,30,20210209
Swift,1576,72.5,72,140,30,20210210
Swift,1585,72.5,72,140,30,20210215
Swift,1618,72.5,72,140,30,20210220
Swift,1640,72.5,72,140,30,20210225
Swift,1698,72.3,70,140,30,20210305
Swift,1900,72.0,70,140,30,20210503
Swift,1900,72.0,70,140,30,20210504
Swift,1900,72.0,70,140,30,20210505
Swift,1900,72.0,70,140,30,20210506
Swift,1900,72.0,70,140,30,20210507
Swift,1904,72.0,70,140,30,20210508
Swift,1905,72.0,70,140,30,20210509
Swift,1905,72.0,70,140,30,20210510
Swift,1907,72.0,70,140,30,20210511
Swift,1923,72.0,70,140,30,20210512
Swift,1927,72.0,70,140,30,20210513
Swift,1928,72.0,70,140,30,20210514
Swift,1931,72.0,70,140,30,20210515
Swift,1931,72.0,70,140,30,20210516
Swift,1934,72.0,70,140,30,20210517
