skill,count,avg_price,med_price,max_price,min_price,created_at
TypeScript,399,70.4,70,140,45,20201121
TypeScript,401,70.4,70,140,45,20201122
TypeScript,401,70.4,70,140,45,20201123
TypeScript,401,70.4,70,140,45,20201124
TypeScript,401,70.4,70,140,45,20201125
TypeScript,401,70.4,70,140,45,20201126
TypeScript,402,70.4,70,140,45,20201127
TypeScript,406,70.4,70,140,45,20201128
TypeScript,406,70.4,70,140,45,20201129
TypeScript,406,70.4,70,140,45,20201130
TypeScript,408,70.5,70,140,45,20201202
TypeScript,410,70.5,70,140,45,20201203
TypeScript,410,70.5,70,140,45,20201204
TypeScript,411,70.5,70,140,45,20201205
TypeScript,418,70.5,70,140,45,20201206
TypeScript,418,70.5,70,140,45,20201207
TypeScript,418,70.5,70,140,45,20201208
TypeScript,423,70.5,70,140,45,20201209
TypeScript,428,70.5,70,140,45,20201210
TypeScript,427,70.5,70,140,45,20201211
TypeScript,430,70.5,70,140,45,20201212
TypeScript,432,70.5,70,140,45,20201215
TypeScript,440,70.5,70,140,45,20201220
TypeScript,439,70.5,70,140,45,20201225
TypeScript,444,70.5,70,140,45,20201230
TypeScript,447,70.6,70,140,45,20210105
TypeScript,470,70.6,70,140,45,20210110
TypeScript,480,70.6,70,140,45,20210115
TypeScript,484,70.6,70,140,45,20210120
TypeScript,501,70.6,70,140,45,20210125
TypeScript,562,70.2,70,140,30,20210209
TypeScript,564,70.2,70,140,30,20210210
TypeScript,569,70.2,70,140,30,20210215
TypeScript,578,70.2,70,140,30,20210220
TypeScript,577,70.2,70,140,30,20210225
TypeScript,597,70.6,70,140,30,20210305
TypeScript,692,71.1,70,140,30,20210503
TypeScript,692,71.1,70,140,30,20210504
TypeScript,693,71.1,70,140,30,20210505
TypeScript,693,71.1,70,140,30,20210506
TypeScript,693,71.1,70,140,30,20210507
TypeScript,695,71.1,70,140,30,20210508
TypeScript,695,71.1,70,140,30,20210509
TypeScript,695,71.1,70,140,30,20210510
TypeScript,697,71.1,70,140,30,20210511
TypeScript,699,71.1,70,140,30,20210512
TypeScript,699,71.1,70,140,30,20210513
TypeScript,703,71.1,70,140,30,20210514
TypeScript,714,71.1,70,140,30,20210515
TypeScript,714,71.1,70,140,30,20210516
TypeScript,714,71.1,70,140,30,20210517
TypeScript,714,71.1,70,140,30,20210518
TypeScript,718,71.1,70,140,30,20210519
TypeScript,721,71.1,70,140,30,20210520
TypeScript,723,71.1,70,140,30,20210521
TypeScript,728,71.1,70,140,30,20210522
TypeScript,728,71.1,70,140,30,20210523
TypeScript,728,71.1,70,140,30,20210524
TypeScript,728,71.1,70,140,30,20210525
TypeScript,730,71.1,70,140,30,20210526
TypeScript,732,71.1,70,140,30,20210527
TypeScript,736,71.1,70,140,30,20210528
TypeScript,741,71.1,70,140,30,20210529
TypeScript,742,71.1,70,140,30,20210530
TypeScript,748,71.1,70,140,30,20210531
TypeScript,755,71.3,70,140,30,20210602
TypeScript,757,71.3,70,140,30,20210603
TypeScript,761,71.3,70,140,30,20210604
TypeScript,769,71.3,70,140,30,20210605
TypeScript,769,71.3,70,140,30,20210606
TypeScript,769,71.3,70,140,30,20210607
TypeScript,774,71.3,70,140,30,20210608
TypeScript,778,71.3,70,140,30,20210609
TypeScript,781,71.3,70,140,30,20210610
TypeScript,782,71.3,70,140,30,20210611
TypeScript,790,71.3,70,140,30,20210613
TypeScript,790,71.3,70,140,30,20210614
TypeScript,797,71.3,70,140,30,20210615
TypeScript,799,71.3,70,140,30,20210616
TypeScript,805,71.3,70,140,30,20210617
TypeScript,809,71.3,70,140,30,20210618
TypeScript,812,71.3,70,140,30,20210619
TypeScript,812,71.3,70,140,30,20210620
TypeScript,812,71.3,70,140,30,20210621
TypeScript,814,71.3,70,140,30,20210622
TypeScript,819,71.3,70,140,30,20210623
TypeScript,837,71.3,70,140,30,20210624
TypeScript,838,71.3,70,140,30,20210625
TypeScript,842,71.3,70,140,30,20210626
TypeScript,842,71.3,70,140,30,20210627
TypeScript,842,71.3,70,140,30,20210628
TypeScript,845,71.3,70,140,30,20210629
TypeScript,847,71.3,70,140,30,20210630
TypeScript,849,71.4,70,140,30,20210702
TypeScript,854,71.4,70,140,30,20210703
TypeScript,855,71.4,70,140,30,20210704
TypeScript,856,71.4,70,140,30,20210705
TypeScript,860,71.4,70,140,30,20210706
TypeScript,862,71.4,70,140,30,20210707
TypeScript,867,71.4,70,140,30,20210708
TypeScript,867,71.4,70,140,30,20210709
TypeScript,874,71.4,70,140,30,20210710
TypeScript,875,71.4,70,140,30,20210711
TypeScript,880,71.4,70,140,30,20210713
TypeScript,880,71.4,70,140,30,20210714
TypeScript,882,71.4,70,140,30,20210715
TypeScript,883,71.4,70,140,30,20210716
TypeScript,889,71.4,70,140,30,20210717
TypeScript,889,71.4,70,140,30,20210718
TypeScript,892,71.4,70,140,30,20210719
TypeScript,895,71.4,70,140,30,20210720
TypeScript,896,71.4,70,140,30,20210721
TypeScript,901,71.4,70,140,30,20210722
TypeScript,901,71.4,70,140,30,20210723
TypeScript,901,71.4,70,140,30,20210724
TypeScript,901,71.4,70,140,30,20210725
TypeScript,902,71.4,70,140,30,20210726
TypeScript,903,71.4,70,140,30,20210727
TypeScript,906,71.4,70,140,30,20210728
TypeScript,908,71.4,70,140,30,20210729
TypeScript,918,71.4,70,140,30,20210730
TypeScript,923,71.4,70,140,30,20210731
TypeScript,923,71.1,70,140,30,20210802
TypeScript,927,71.1,70,140,30,20210803
TypeScript,926,71.1,70,140,30,20210804
TypeScript,934,71.1,70,140,30,20210805
TypeScript,936,71.1,70,140,30,20210806
TypeScript,938,71.1,70,140,30,20210807
TypeScript,938,71.1,70,140,30,20210808
TypeScript,938,71.1,70,140,30,20210809
TypeScript,939,71.1,70,140,30,20210810
TypeScript,945,71.1,70,140,30,20210812
TypeScript,950,71.1,70,140,30,20210814
TypeScript,950,71.1,70,140,30,20210815
TypeScript,952,71.1,70,140,30,20210816
TypeScript,954,71.1,70,140,30,20210817
