skill,count,avg_price,max_price,min_price,created_at
Django,89,83,115,55,20201121
Django,89,83,115,55,20201122
Django,89,83,115,55,20201123
Django,89,83,115,55,20201124
Django,89,83,115,55,20201125
Django,90,83,115,55,20201126
Django,90,83,115,55,20201127
Django,91,82,115,55,20201128
Django,94,82,115,55,20201204
Django,95,82,115,55,20201205
Django,95,82,115,55,20201206
Django,95,82,115,55,20201207
Django,95,82,115,55,20201208
Django,96,82,115,55,20201209
Django,97,82,115,55,20201210
Django,98,82,115,55,20201211
Django,98,82,115,55,20201212
Django,98,82,115,55,20201215
Django,100,82,115,55,20201220
Django,102,82,115,55,20201225
Django,103,82,115,55,20201230
Django,103,82,115,55,20210101
Django,104,82,115,55,20210105
Django,107,82,115,55,20210110
Django,108,82,115,55,20210115
Django,108,82,115,55,20210120
Django,108,82,115,55,20210125
Django,111,81,115,55,20210209
Django,111,81,115,55,20210210
Django,111,81,115,55,20210215
Django,111,81,115,55,20210220
Django,112,81,115,55,20210225
Django,112,81,115,55,20210301
Django,114,81,115,55,20210305
Django,115,81,115,55,20210310
Django,119,81,115,55,20210315
Django,121,81,115,55,20210320
Django,122,81,115,55,20210325
Django,123,81,115,55,20210330
Django,180,81,135,45,20210401
Django,180,81,135,45,20210405
Django,182,81,135,45,20210410
Django,184,81,135,45,20210415
Django,189,81,135,45,20210503
Django,189,81,135,45,20210504
Django,189,81,135,45,20210505
Django,189,81,135,45,20210506
Django,190,81,135,45,20210507
Django,190,81,135,45,20210508
Django,190,81,135,45,20210509
Django,190,81,135,45,20210510
Django,190,81,135,45,20210511
Django,190,81,135,45,20210512
Django,190,81,135,45,20210513
Django,190,81,135,45,20210514
Django,190,81,135,45,20210515
Django,190,81,135,45,20210516
Django,190,81,135,45,20210517
Django,190,81,135,45,20210518
Django,190,81,135,45,20210519
Django,191,81,135,45,20210520
Django,191,81,135,45,20210521
Django,191,81,135,45,20210522
Django,191,81,135,45,20210523
Django,191,81,135,45,20210524
Django,194,81,135,45,20210525
Django,195,81,135,45,20210526
Django,195,81,135,45,20210527
Django,195,81,135,45,20210528
Django,196,81,135,45,20210529
Django,196,81,135,45,20210530
Django,196,81,135,45,20210531
Django,196,81,135,45,20210602
Django,196,81,135,45,20210603
Django,196,81,135,45,20210604
Django,197,81,135,45,20210605
Django,197,81,135,45,20210606
Django,197,81,135,45,20210607
Django,197,81,135,45,20210608
Django,199,81,135,45,20210609
Django,199,81,135,45,20210610
Django,199,81,135,45,20210611
Django,199,81,135,45,20210613
Django,199,81,135,45,20210614
Django,199,81,135,45,20210615
Django,201,81,135,45,20210616
Django,201,81,135,45,20210617
Django,202,80,135,40,20210618
Django,202,80,135,40,20210619
Django,202,80,135,40,20210620
