skill,count,avg_price,med_price,max_price,min_price,created_at
React,1416,76.1,77,150,30,20201121
React,1427,76.1,77,150,30,20201122
React,1429,76.1,77,150,30,20201123
React,1429,76.1,77,150,30,20201124
React,1429,76.1,77,150,30,20201125
React,1432,76.1,77,150,30,20201126
React,1438,76.1,77,150,30,20201127
React,1439,76.1,77,150,30,20201128
React,1449,76.1,77,150,30,20201129
React,1450,76.1,77,150,30,20201130
React,1456,74.9,75,150,20,20201202
React,1456,74.9,75,150,20,20201203
React,1457,74.9,75,150,20,20201204
React,1456,74.9,75,150,20,20201205
React,1466,74.9,75,150,20,20201206
React,1468,74.9,75,150,20,20201207
React,1468,74.9,75,150,20,20201208
React,1476,74.9,75,150,20,20201209
React,1491,74.9,75,150,20,20201210
React,1496,74.9,75,150,20,20201211
React,1502,74.9,75,150,20,20201212
React,1505,74.9,75,150,20,20201215
React,1528,74.9,75,150,20,20201220
React,1559,74.9,75,150,20,20201225
React,1573,74.9,75,150,20,20201230
React,1584,74.6,75,150,20,20210105
React,1659,74.6,75,150,20,20210110
React,1674,74.6,75,150,20,20210115
React,1703,74.6,75,150,20,20210120
React,1760,74.6,75,150,20,20210125
React,1956,73.4,75,150,20,20210209
React,1966,73.4,75,150,20,20210210
React,1982,73.4,75,150,20,20210215
React,2006,73.4,75,150,20,20210220
React,2039,73.4,75,150,20,20210225
React,2094,73.3,75,150,20,20210305
React,2359,73.1,75,150,20,20210503
React,2359,73.1,75,150,20,20210504
React,2361,73.1,75,150,20,20210505
React,2362,73.1,75,150,20,20210506
React,2364,73.1,75,150,20,20210507
React,2365,73.1,75,150,20,20210508
React,2365,73.1,75,150,20,20210509
React,2365,73.1,75,150,20,20210510
React,2380,73.1,75,150,20,20210511
React,2389,73.1,75,150,20,20210512
React,2392,73.1,75,150,20,20210513
React,2396,73.1,75,150,20,20210514
React,2420,73.1,75,150,20,20210515
React,2420,73.1,75,150,20,20210516
React,2420,73.1,75,150,20,20210517
