skill,count,avg_price,med_price,max_price,min_price,created_at
Ethna,11,68.4,70,80,48,20201121
Ethna,11,68.4,70,80,48,20201122
Ethna,11,68.4,70,80,48,20201123
Ethna,11,68.4,70,80,48,20201124
Ethna,11,68.4,70,80,48,20201125
Ethna,11,68.4,70,80,48,20201126
Ethna,11,68.4,70,80,48,20201127
Ethna,11,68.4,70,80,48,20201128
Ethna,11,68.4,70,80,48,20201129
Ethna,11,68.4,70,80,48,20201130
Ethna,11,68.4,70,80,48,20201202
Ethna,11,68.4,70,80,48,20201203
Ethna,11,68.4,70,80,48,20201204
Ethna,11,68.4,70,80,48,20201205
Ethna,11,68.4,70,80,48,20201206
Ethna,11,68.4,70,80,48,20201207
Ethna,11,68.4,70,80,48,20201208
Ethna,11,68.4,70,80,48,20201209
Ethna,11,68.4,70,80,48,20201210
Ethna,11,68.4,70,80,48,20201211
Ethna,11,68.4,70,80,48,20201212
Ethna,11,68.4,70,80,48,20201215
Ethna,11,68.4,70,80,48,20201220
Ethna,11,68.4,70,80,48,20201225
Ethna,11,68.4,70,80,48,20201230
Ethna,11,68.4,70,80,48,20210105
Ethna,11,68.4,70,80,48,20210110
Ethna,11,68.4,70,80,48,20210115
Ethna,11,68.4,70,80,48,20210120
Ethna,11,68.4,70,80,48,20210125
Ethna,11,68.4,70,80,48,20210209
Ethna,11,68.4,70,80,48,20210210
Ethna,11,68.4,70,80,48,20210215
Ethna,13,68.4,70,80,48,20210220
Ethna,13,68.4,70,80,48,20210225
Ethna,13,66.6,70,95,40,20210305
Ethna,15,63.4,70,95,40,20210503
Ethna,15,63.4,70,95,40,20210504
