skill,count,avg_price,med_price,max_price,min_price,created_at
CodeIgniter,70,68.8,70,90,40,20201121
CodeIgniter,70,68.8,70,90,40,20201122
CodeIgniter,70,68.8,70,90,40,20201123
CodeIgniter,70,68.8,70,90,40,20201124
CodeIgniter,70,68.8,70,90,40,20201125
CodeIgniter,70,68.8,70,90,40,20201126
CodeIgniter,70,68.8,70,90,40,20201127
CodeIgniter,71,68.8,70,90,40,20201128
CodeIgniter,71,68.8,70,90,40,20201129
CodeIgniter,71,68.8,70,90,40,20201130
CodeIgniter,71,68.5,70,90,40,20201202
CodeIgniter,71,68.5,70,90,40,20201203
CodeIgniter,72,68.5,70,90,40,20201204
CodeIgniter,72,68.5,70,90,40,20201205
CodeIgniter,72,68.5,70,90,40,20201206
CodeIgniter,72,68.5,70,90,40,20201207
CodeIgniter,72,68.5,70,90,40,20201208
CodeIgniter,72,68.5,70,90,40,20201209
CodeIgniter,72,68.5,70,90,40,20201210
CodeIgniter,73,68.5,70,90,40,20201211
CodeIgniter,73,68.5,70,90,40,20201212
CodeIgniter,73,68.5,70,90,40,20201215
CodeIgniter,71,68.5,70,90,40,20201220
CodeIgniter,76,68.5,70,90,40,20201225
CodeIgniter,78,68.5,70,90,40,20201230
CodeIgniter,79,67.4,70,90,40,20210105
CodeIgniter,83,67.4,70,90,40,20210110
CodeIgniter,84,67.4,70,90,40,20210115
CodeIgniter,85,67.4,70,90,40,20210120
CodeIgniter,92,67.4,70,90,40,20210125
CodeIgniter,110,66.8,70,95,40,20210209
CodeIgniter,110,66.8,70,95,40,20210210
CodeIgniter,111,66.8,70,95,40,20210215
CodeIgniter,114,66.8,70,95,40,20210220
CodeIgniter,116,66.8,70,95,40,20210225
CodeIgniter,118,66.8,68.5,108,40,20210305
CodeIgniter,132,66.7,70,108,40,20210503
CodeIgniter,132,66.7,70,108,40,20210504
CodeIgniter,133,66.7,70,108,40,20210505
CodeIgniter,133,66.7,70,108,40,20210506
CodeIgniter,133,66.7,70,108,40,20210507
CodeIgniter,133,66.7,70,108,40,20210508
CodeIgniter,133,66.7,70,108,40,20210509
CodeIgniter,133,66.7,70,108,40,20210510
CodeIgniter,133,66.7,70,108,40,20210511
CodeIgniter,134,66.7,70,108,40,20210512
CodeIgniter,135,66.7,70,108,40,20210513
CodeIgniter,135,66.7,70,108,40,20210514
CodeIgniter,135,66.7,70,108,40,20210515
CodeIgniter,135,66.7,70,108,40,20210516
CodeIgniter,135,66.7,70,108,40,20210517
CodeIgniter,135,66.7,70,108,40,20210518
CodeIgniter,136,66.7,70,108,40,20210519
CodeIgniter,136,66.7,70,108,40,20210520
CodeIgniter,136,66.7,70,108,40,20210521
CodeIgniter,136,66.7,70,108,40,20210522
CodeIgniter,136,66.7,70,108,40,20210523
CodeIgniter,136,66.7,70,108,40,20210524
CodeIgniter,138,66.7,70,108,40,20210525
CodeIgniter,137,66.7,70,108,40,20210526
CodeIgniter,137,66.7,70,108,40,20210527
CodeIgniter,137,66.7,70,108,40,20210528
CodeIgniter,137,66.7,70,108,40,20210529
CodeIgniter,137,66.7,70,108,40,20210530
CodeIgniter,137,66.7,70,108,40,20210531
CodeIgniter,140,66.4,70,108,40,20210602
CodeIgniter,140,66.4,70,108,40,20210603
CodeIgniter,140,66.4,70,108,40,20210604
CodeIgniter,141,66.4,70,108,40,20210605
CodeIgniter,142,66.4,70,108,40,20210606
CodeIgniter,142,66.4,70,108,40,20210607
CodeIgniter,142,66.4,70,108,40,20210608
CodeIgniter,142,66.4,70,108,40,20210609
CodeIgniter,142,66.4,70,108,40,20210610
CodeIgniter,142,66.4,70,108,40,20210611
CodeIgniter,142,66.4,70,108,40,20210613
CodeIgniter,142,66.4,70,108,40,20210614
CodeIgniter,142,66.4,70,108,40,20210615
CodeIgniter,143,66.4,70,108,40,20210616
CodeIgniter,144,66.4,70,108,40,20210617
CodeIgniter,144,66.4,70,108,40,20210618
CodeIgniter,145,66.4,70,108,40,20210619
CodeIgniter,145,66.4,70,108,40,20210620
CodeIgniter,145,66.4,70,108,40,20210621
CodeIgniter,145,66.4,70,108,40,20210622
CodeIgniter,147,66.4,70,108,40,20210623
CodeIgniter,148,66.4,70,108,40,20210624
CodeIgniter,148,66.4,70,108,40,20210625
CodeIgniter,148,66.4,70,108,40,20210626
CodeIgniter,148,66.4,70,108,40,20210627
CodeIgniter,148,66.4,70,108,40,20210628
CodeIgniter,150,66.4,70,108,40,20210629
CodeIgniter,151,66.4,70,108,40,20210630
CodeIgniter,152,66.1,70,108,40,20210702
CodeIgniter,152,66.1,70,108,40,20210703
CodeIgniter,152,66.1,70,108,40,20210704
