skill,count,avg_price,med_price,max_price,min_price,created_at
SpringBoot,422,70.6,70,130,40,20201121
SpringBoot,425,70.6,70,130,40,20201122
SpringBoot,425,70.6,70,130,40,20201123
SpringBoot,425,70.6,70,130,40,20201124
SpringBoot,425,70.6,70,130,40,20201125
SpringBoot,429,70.6,70,130,40,20201126
SpringBoot,432,70.6,70,130,40,20201127
SpringBoot,444,70.6,70,130,40,20201128
SpringBoot,445,70.6,70,130,40,20201129
SpringBoot,445,70.6,70,130,40,20201130
SpringBoot,446,68.7,70,130,40,20201202
SpringBoot,451,68.7,70,130,40,20201203
SpringBoot,451,68.7,70,130,40,20201204
SpringBoot,456,68.7,70,130,40,20201205
SpringBoot,470,68.7,70,130,40,20201206
SpringBoot,470,68.7,70,130,40,20201207
SpringBoot,471,68.7,70,130,40,20201208
SpringBoot,472,68.7,70,130,40,20201209
SpringBoot,474,68.7,70,130,40,20201210
SpringBoot,478,68.7,70,130,40,20201211
SpringBoot,483,68.7,70,130,40,20201212
SpringBoot,486,68.7,70,130,40,20201215
SpringBoot,500,68.7,70,130,40,20201220
SpringBoot,507,68.7,70,130,40,20201225
SpringBoot,516,68.7,70,130,40,20201230
SpringBoot,524,67.8,70,130,40,20210105
SpringBoot,584,67.8,70,130,40,20210110
SpringBoot,592,67.8,70,130,40,20210115
