skill,count,avg_price,med_price,max_price,min_price,created_at
SpringBoot,422,70.6,70,130,40,20201121
SpringBoot,425,70.6,70,130,40,20201122
SpringBoot,425,70.6,70,130,40,20201123
SpringBoot,425,70.6,70,130,40,20201124
SpringBoot,425,70.6,70,130,40,20201125
SpringBoot,429,70.6,70,130,40,20201126
SpringBoot,432,70.6,70,130,40,20201127
SpringBoot,444,70.6,70,130,40,20201128
SpringBoot,445,70.6,70,130,40,20201129
SpringBoot,445,70.6,70,130,40,20201130
SpringBoot,446,68.7,70,130,40,20201202
SpringBoot,451,68.7,70,130,40,20201203
SpringBoot,451,68.7,70,130,40,20201204
SpringBoot,456,68.7,70,130,40,20201205
SpringBoot,470,68.7,70,130,40,20201206
SpringBoot,470,68.7,70,130,40,20201207
SpringBoot,471,68.7,70,130,40,20201208
SpringBoot,472,68.7,70,130,40,20201209
SpringBoot,474,68.7,70,130,40,20201210
SpringBoot,478,68.7,70,130,40,20201211
SpringBoot,483,68.7,70,130,40,20201212
SpringBoot,486,68.7,70,130,40,20201215
SpringBoot,500,68.7,70,130,40,20201220
SpringBoot,507,68.7,70,130,40,20201225
SpringBoot,516,68.7,70,130,40,20201230
SpringBoot,524,67.8,70,130,40,20210105
SpringBoot,584,67.8,70,130,40,20210110
SpringBoot,592,67.8,70,130,40,20210115
SpringBoot,603,67.8,70,130,40,20210120
SpringBoot,629,67.8,70,130,40,20210125
SpringBoot,684,68.1,70,180,30,20210209
SpringBoot,685,68.1,70,180,30,20210210
SpringBoot,693,68.1,70,180,30,20210215
SpringBoot,701,68.1,70,180,30,20210220
SpringBoot,720,68.1,70,180,30,20210225
SpringBoot,749,67.9,70,180,30,20210305
SpringBoot,937,67.7,70,180,30,20210503
SpringBoot,938,67.7,70,180,30,20210504
SpringBoot,938,67.7,70,180,30,20210505
SpringBoot,939,67.7,70,180,30,20210506
SpringBoot,942,67.7,70,180,30,20210507
SpringBoot,943,67.7,70,180,30,20210508
SpringBoot,943,67.7,70,180,30,20210509
SpringBoot,944,67.7,70,180,30,20210510
SpringBoot,947,67.7,70,180,30,20210511
SpringBoot,949,67.7,70,180,30,20210512
SpringBoot,954,67.7,70,180,30,20210513
SpringBoot,956,67.7,70,180,30,20210514
SpringBoot,964,67.7,70,180,30,20210515
SpringBoot,964,67.7,70,180,30,20210516
SpringBoot,965,67.7,70,180,30,20210517
SpringBoot,967,67.7,70,180,30,20210518
SpringBoot,969,67.7,70,180,30,20210519
SpringBoot,974,67.7,70,180,30,20210520
SpringBoot,975,67.7,70,180,30,20210521
SpringBoot,985,67.7,70,180,30,20210522
SpringBoot,997,67.7,70,180,30,20210523
SpringBoot,997,67.7,70,180,30,20210524
SpringBoot,1004,67.7,70,180,30,20210525
SpringBoot,1007,67.7,70,180,30,20210526
SpringBoot,1010,67.7,70,180,30,20210527
SpringBoot,1011,67.7,70,180,30,20210528
SpringBoot,1015,67.7,70,180,30,20210529
SpringBoot,1017,67.7,70,180,30,20210530
SpringBoot,1017,67.7,70,180,30,20210531
SpringBoot,1028,67.7,70,180,30,20210602
SpringBoot,1030,67.7,70,180,30,20210603
SpringBoot,1035,67.7,70,180,30,20210604
SpringBoot,1038,67.7,70,180,30,20210605
SpringBoot,1040,67.7,70,180,30,20210606
SpringBoot,1040,67.7,70,180,30,20210607
SpringBoot,1042,67.7,70,180,30,20210608
SpringBoot,1046,67.7,70,180,30,20210609
SpringBoot,1053,67.7,70,180,30,20210610
SpringBoot,1055,67.7,70,180,30,20210611
SpringBoot,1057,67.7,70,180,30,20210613
SpringBoot,1058,67.7,70,180,30,20210614
SpringBoot,1064,67.7,70,180,30,20210615
SpringBoot,1067,67.7,70,180,30,20210616
SpringBoot,1067,67.7,70,180,30,20210617
SpringBoot,1073,67.7,70,180,30,20210618
