skill,count,avg_price,med_price,max_price,min_price,created_at
Flask,52,77.9,80,130,45,20201121
Flask,53,77.9,80,130,45,20201122
Flask,53,77.9,80,130,45,20201123
Flask,53,77.9,80,130,45,20201124
Flask,53,77.9,80,130,45,20201125
Flask,53,77.9,80,130,45,20201126
Flask,53,77.9,80,130,45,20201127
Flask,53,77.9,80,130,45,20201128
Flask,53,77.9,80,130,45,20201129
Flask,53,77.9,80,130,45,20201130
Flask,53,74.9,75,130,30,20201202
Flask,54,74.9,75,130,30,20201203
Flask,54,74.9,75,130,30,20201204
Flask,55,74.9,75,130,30,20201205
Flask,55,74.9,75,130,30,20201206
Flask,55,74.9,75,130,30,20201207
Flask,55,74.9,75,130,30,20201208
Flask,56,74.9,75,130,30,20201209
Flask,57,74.9,75,130,30,20201210
Flask,58,74.9,75,130,30,20201211
Flask,59,74.9,75,130,30,20201212
Flask,59,74.9,75,130,30,20201215
Flask,61,74.9,75,130,30,20201220
Flask,65,74.9,75,130,30,20201225
Flask,67,74.9,75,130,30,20201230
Flask,67,75.9,75,130,30,20210105
Flask,74,75.9,75,130,30,20210110
Flask,76,75.9,75,130,30,20210115
Flask,79,75.9,75,130,30,20210120
Flask,81,75.9,75,130,30,20210125
Flask,106,73.9,70,130,30,20210209
Flask,106,73.9,70,130,30,20210210
Flask,106,73.9,70,130,30,20210215
Flask,108,73.9,70,130,30,20210220
Flask,111,73.9,70,130,30,20210225
Flask,116,73.9,70,130,30,20210305
Flask,133,73.8,70,130,30,20210503
Flask,133,73.8,70,130,30,20210504
Flask,133,73.8,70,130,30,20210505
Flask,133,73.8,70,130,30,20210506
Flask,134,73.8,70,130,30,20210507
Flask,134,73.8,70,130,30,20210508
Flask,134,73.8,70,130,30,20210509
Flask,134,73.8,70,130,30,20210510
Flask,134,73.8,70,130,30,20210511
Flask,137,73.8,70,130,30,20210512
Flask,137,73.8,70,130,30,20210513
Flask,138,73.8,70,130,30,20210514
Flask,138,73.8,70,130,30,20210515
Flask,138,73.8,70,130,30,20210516
Flask,138,73.8,70,130,30,20210517
Flask,138,73.8,70,130,30,20210518
Flask,138,73.8,70,130,30,20210519
Flask,140,73.8,70,130,30,20210520
Flask,141,73.8,70,130,30,20210521
Flask,141,73.8,70,130,30,20210522
Flask,141,73.8,70,130,30,20210523
