skill,count,avg_price,max_price,min_price,created_at
Sybase,6,75,85,65,20201121
Sybase,6,75,85,65,20201122
Sybase,6,75,85,65,20201123
Sybase,6,75,85,65,20201124
Sybase,6,75,85,65,20201125
Sybase,6,75,85,65,20201126
Sybase,6,75,85,65,20201127
Sybase,6,75,85,65,20201128
Sybase,6,75,85,65,20201204
Sybase,6,75,85,65,20201205
Sybase,6,75,85,65,20201206
Sybase,6,75,85,65,20201207
Sybase,6,75,85,65,20201208
Sybase,6,75,85,65,20201209
Sybase,6,75,85,65,20201210
Sybase,6,75,85,65,20201211
Sybase,6,75,85,65,20201212
Sybase,6,75,85,65,20201215
Sybase,6,75,85,65,20201220
Sybase,6,75,85,65,20201225
Sybase,6,75,85,65,20201230
Sybase,6,75,85,65,20210101
Sybase,6,75,85,65,20210105
Sybase,6,75,85,65,20210110
Sybase,6,75,85,65,20210115
Sybase,6,75,85,65,20210120
Sybase,6,75,85,65,20210125
Sybase,6,75,85,65,20210209
Sybase,6,75,85,65,20210210
Sybase,6,75,85,65,20210215
Sybase,6,75,85,65,20210220
Sybase,6,75,85,65,20210225
Sybase,6,75,85,65,20210301
Sybase,6,75,85,65,20210305
Sybase,6,75,85,65,20210310
Sybase,6,75,85,65,20210315
Sybase,6,75,85,65,20210320
Sybase,6,75,85,65,20210325
Sybase,6,75,85,65,20210330
Sybase,9,72,85,64,20210401
Sybase,9,72,85,64,20210405
Sybase,9,72,85,64,20210410
Sybase,9,72,85,64,20210415
Sybase,9,72,85,64,20210503
Sybase,9,72,85,64,20210504
Sybase,9,72,85,64,20210505
Sybase,9,72,85,64,20210506
Sybase,9,72,85,64,20210507
Sybase,9,72,85,64,20210508
Sybase,9,72,85,64,20210509
Sybase,9,72,85,64,20210510
Sybase,9,72,85,64,20210511
Sybase,9,72,85,64,20210512
Sybase,9,72,85,64,20210513
Sybase,9,72,85,64,20210514
Sybase,9,72,85,64,20210515
Sybase,9,72,85,64,20210516
Sybase,9,72,85,64,20210517
Sybase,9,72,85,64,20210518
Sybase,9,72,85,64,20210519
Sybase,9,72,85,64,20210520
Sybase,9,72,85,64,20210521
Sybase,9,72,85,64,20210522
Sybase,9,72,85,64,20210523
Sybase,9,72,85,64,20210524
Sybase,9,72,85,64,20210525
Sybase,9,72,85,64,20210526
Sybase,9,72,85,64,20210527
Sybase,9,72,85,64,20210528
Sybase,9,72,85,64,20210529
Sybase,9,72,85,64,20210530
Sybase,9,72,85,64,20210531
Sybase,9,72,85,64,20210602
Sybase,9,72,85,64,20210603
Sybase,9,72,85,64,20210604
Sybase,9,72,85,64,20210605
Sybase,9,72,85,64,20210606
Sybase,9,72,85,64,20210607
Sybase,9,72,85,64,20210608
Sybase,9,72,85,64,20210609
Sybase,9,72,85,64,20210610
